text,category,priority
I used your new wellness supplement yesterday and had a severe allergic reaction. I had to go to the hospital because my throat started closing up. This is extremely dangerous!,Product,High
I used your new wellness supplement yesterday and had a severe allergic reaction. I had to go to the hospital because my throat started closing up. This is extremely dangerous!,Product,High
I used your new wellness supplement yesterday and had a severe allergic reaction. I had to go to the hospital because my throat started closing up. This is extremely dangerous!,Product,High
I used your new wellness supplement yesterday and had a severe allergic reaction. I had to go to the hospital because my throat started closing up. This is extremely dangerous!,Product,High
I used your new wellness supplement yesterday and had a severe allergic reaction. I had to go to the hospital because my throat started closing up. This is extremely dangerous!,Product,High
I used your new wellness supplement yesterday and had a severe allergic reaction. I had to go to the hospital because my throat started closing up. This is extremely dangerous!,Product,High
I used your new wellness supplement yesterday and had a severe allergic reaction. I had to go to the hospital because my throat started closing up. This is extremely dangerous!,Product,High
I used your new wellness supplement yesterday and had a severe allergic reaction. I had to go to the hospital because my throat started closing up. This is extremely dangerous!,Product,High
I used your new wellness supplement yesterday and had a severe allergic reaction. I had to go to the hospital because my throat started closing up. This is extremely dangerous!,Product,High
I used your new wellness supplement yesterday and had a severe allergic reaction. I had to go to the hospital because my throat started closing up. This is extremely dangerous!,Product,High
Severe allergic reaction to the product went to hospital.,Product,High
The wellness supplement caused a bad reaction and throat closing.,Product,High
Allergic reaction dangerous hospital supplement.,Product,High
